name,address,source_id,comment
Петропавловская крепость,Заячий о-в,visit_petersburg_places,official tourist portal
Санкт-Петербургский Дом Книги | Дом компании «Зингер»,"Невский пр., 28",visit_petersburg_places,official tourist portal
Исаакиевский Собор,"Исаакиевская пл., 4",visit_petersburg_places,official tourist portal
Зимний дворец | Государственный Эрмитаж,"Дворцовая пл., 2",visit_petersburg_places,official tourist portal
Медный всадник,Сенатская пл.,visit_petersburg_places,official tourist portal
Музей антропологии и этнографии им. Петра Великого Российской академии наук | Кунсткамера,"Университетская наб., 3",visit_petersburg_places,official tourist portal
Лахта Центр,"Высотная ул., 1",visit_petersburg_places,official tourist portal
Санкт-Петербургский Государственный Университет | Здание двенадцати коллегий,"Университетская наб., 7-9",visit_petersburg_places,official tourist portal
