name,address,source_id,comment
Петропавловская крепость,Заячий о-в,visit_petersburg_places,"Официальный туристский портал"
Санкт-Петербургский Дом Книги | Дом компании «Зингер","Невский пр., 28",visit_petersburg_places,"Официальный туристский портал"
Исаакиевский Собор,"Исаакиевская пл., 4",visit_petersburg_places,"Официальный туристский портал"
Зимний дворец | Государственный Эрмитаж,"Дворцовая пл., 2",visit_petersburg_places,"Официальный туристский портал"
Медный всадник,Сенатская пл.,visit_petersburg_places,"Официальный туристский портал"
Музей Фаберже,"Наб. реки Фонтанки, 21",visit_petersburg_places,"Официальный туристский портал"
Музей антропологии и этнографии им. Петра Великого Российской академии наук | Кунсткамера,"Университетская наб., 3",visit_petersburg_places,"Официальный туристский портал"
Лахта Центр,"Высотная ул., 1",visit_petersburg_places,"Официальный туристский портал"
Санкт-Петербургский Государственный Университет | Здание двенадцати коллегий,"Университетская наб., 7-9",visit_petersburg_places,"Официальный туристский портал"
