conversion_rate,annual_buyers_estimate,annual_b2c_revenue_rub,assumed_price_rub,souvenir_consumption_2024_rub,note
0.005,62000.0,36580000.0,590,29220000000.0,"B2C TAM is a scenario estimate, not observed demand; souvenir consumption uses official 2024 structure."
0.01,124000.0,73160000.0,590,29220000000.0,"B2C TAM is a scenario estimate, not observed demand; souvenir consumption uses official 2024 structure."
0.02,248000.0,146320000.0,590,29220000000.0,"B2C TAM is a scenario estimate, not observed demand; souvenir consumption uses official 2024 structure."
0.03,372000.0,219480000.0,590,29220000000.0,"B2C TAM is a scenario estimate, not observed demand; souvenir consumption uses official 2024 structure."
